Sentence,hate_label
"""Go fishing.""",0
"Supreme Court Justice
Robbie Turner.",0
"If Justice Turner
had her way,
she'd outlaw
ex-boyfriend Donald Trump.",0
I second that emotion.,0
"All rise
for Supreme Court Justice
Kim Chi.",0
"She got her start at the law
firm of Ching Chang & Chong.",0
I did not write these.,0
Do not send me letters.,0
Sorry about it.,0
"Supreme Court Justice
Thorgy Thor.",0
"She made herstory
legalizing the right
to stop traffic
and tap-dance.",0
"All rise
for Supreme Court Justice
Chi Chi DeVayne.",0
"She made herstory
with her landmark verdict
legalizing ass clapping.",0
"Judge Hatchett,
meet Judge Ratchet.",0
"Yes, Your Honor, yes.",0
"If justice is blind,
that bitch is missing out.",0
"The winner is...
Naomi Smalls.",0
"Yes, baby.",0
Fashion rules.,0
"And I'll be posting
all of these supreme looks
Ladies, last week's
double elimination
left a void
that I've decided to fill
with the one and only...
Jiggly Caliente!",0
"Bitches, I'm back!",0
Naysha Lopez.,0
"Oh, my God,
it's Naysha!",0
She's back on the competition.,0
"Naysha should have walked in
with her luggage
and just kept on walking.",0
"Bye, girl.",0
"Naysha, you're getting
a second chance.",0
So don't fuck it up.,0
Okay.,0
"Now, for this week's
maxi challenge,
you'll be overacting
in a pilot for my new TV series,
""RuCo's Empire.""",0
"#DragEmpire
Whoo!",0
"That's right,
RuRu kitty girls.",0
It's cookie time.,0
Whoo!,0
I love it!,0
"Naomi Smalls,
you won the mini challenge,
so you're a team captain.",0
"And Naysha Lopez,
as a welcome back gift,
you're a team captain too.",0
"I'm not trying to fuck up
my second chance,
so let's do this.",0
"Naomi,
you get first pick.",0
I choose Robbie Turner.,0
All right.,0
Naysha.,0
Derrick Barry.,0
Yay!,0
Bob The Drag Queen.,0
Whoo!,0
Thorgy.,0
Yes!,0
Awesome.,0
Whoo!,0
Chi Chi.,0
Whoo.,0
Kim Chi.,0
Yeah!,0
"Well, that leaves Acid Betty
and ""Santee Alley"" Fontaine.",0
"When Cynthia Lee
says her own name,
my ear hears
""Santee Alley,""
which is a shopping district
in downtown Los Angeles.",0
You are on Naysha's team.,0
Fuck.,0
Just kidding.,0
"Gentlemen,
start your engines.",0
"And may
the smartest cookie win.",0
"Okay, so let's go through
all of them real quick.",0
"""Ginger Snap,
classic militant activist.""",0
"She's intense, so you want
to take that role?",0
"Uh...
Derrick's playing
this militant lesbian.",0
Really?,0
"""Chocolate Chip Cookie,
the over-the-top super diva.",0
"She's got major attitude
and blingy style.""",0
"I will feel comfortable
with Chocolate Chip Cookie,
personally.",0
"There's a lot of words
in this.",0
Did you look at the script?,0
"That's right,
Chocolate Chip Cookie's back!",0
"I did not understand at all
what you said.",0
"And this gonna be my chance
to win back Rucious for good!",0
"Why are you talking up here
like that?",0
"Think the other team
should be worried
because they have a lot of girls
that are just like...
not black.",0
"Y'all ain't getting nuttin'
past Chi Chi.",0
"Coming up...
Action.",0
"I'm here to get
what's mine.",0
Bitch!,0
You couldn't even make bail.,0
I'm a strong gay woman!,0
Okay.,0
"""Oh-ker""?",0
We'll be right back.,0
We're back.,0
"Lights, camera, slap him.",0
"""You double-crossing bitches.""",0
"For today's challenge,
we have to perform in scenes
inspired by the show, ""Empire.""",0
It's got drama.,0
It's got Cookie.,0
"I mean,
this is a dream come true.",0
"""Maybe it was a lil'
somethin'-somethin' extra
I put in the drink.""",0
"I've never seen ""Empire,"" but
Cookie sounds like a handful.",0
"And Bob is a fucking handful,
so it's just a match
made in heaven.",0
"One thing I would say,
make it, like
a ""Or maybe...""
Let's do it again.",0
'Cause it got lost.,0
"Robbie,
she's a trained actress
and she's giving us
all these tips.",0
"Like, this whole thing,
and then be like,
""Stand back, bitches!""",0
"We're definitely
gonna win this challenge.",0
"""What you want?",0
"Oh, hello, Rucious's doctor.""",0
It's Rucious's doctor.,0
"This is one stale-ass
Chocolate Chip Cookie.",0
"Just an observation
that I'm just making,
Thorgy and...
Kim Chi switch.",0
"Okay, give her
the CableACE Award.",0
I would love to.,0
"Yeah, super diva.",0
This is gonna be so good.,0
I really want to do this.,0
"""Oh, you better think again,
RuRu kitty.",0
"That's right;
Chocolate Chip Cookie is back.""",0
"""Did I hear my name?""",0
"It sounded
like Bob was doing...
Of course.",0
Yeah.,0
"We're gonna be up
against each other.",0
"What part did you pick, Bob?",0
Chocolate Chip Cookie.,0
"Of course
both myself and Bob
are playing
Chocolate Chip Cookie parts,
and we're gonna be compared.",0
"Okay, New York.",0
"it's like a subway series
with cookies.",0
"""I am not worried
about that.""",0
"""Well, where the hell
is Rucious?",0
"Rucious!""",0
There's a fire under my ass.,0
Ooh!,0
"And I really, really fucking
want to win the challenge.",0
Welcome to my home.,0
All right.,0
Team Naysha.,0
"It's time to shoot the scene,
and everyone's feeling
a little nervous.",0
"Welcome to our beautiful set,
furnished by our friends
at Rrivre Works.",0
"And say hello
to my co-director.",0
"Grammy award-winning
First Lady of hip-hop,
Faith Evans is here.",0
'Cause you gotta have faith.,0
What's up?,0
Mm-hmm.,0
"All right, places,
people, places.",0
"It takes a village, people.",0
Village People?,0
Is the cop here?,0
"And...
Action.",0
I'm here to get what's mine.,0
"No, you're not.",0
"Yes, she is.",0
Who are you?,0
Stop interrupting me.,0
Acting!,0
You all need to chill.,0
"The big RuCo white party
is coming up.",0
And cut.,0
"Kim Chi,
I need to see more of this.",0
I need to see this.,0
"We smack a lot
when we ratchet.",0
All right.,0
Girl.,0
"Mm-hmm, mm-hmm.",0
What she said.,0
Like this.,0
Um...yeah.,0
Let's try that again.,0
"Listen, Ho Ho!",0
"Chocolate Chip Cookie's
supposed to be in jail!",0
That was much better.,0
And action.,0
I'm gonna make you a star.,0
"Bitch, you couldn't
even make bail.",0
Ooh...,0
But I can whoop yo' ass.,0
I believe her.,0
"Nobody wants a bitch who
gets kicked off to come back,
so I was glad to beat
the shit out of her
with this dirty broom.",0
"Live your truth, girl.",0
"The White party is the time
for me to tell the whole world,
it's okay to be gay.",0
Cut.,0
"Derrick, I'm losing you
in that moment.",0
"I know--you're not sort of
connecting with anyone.",0
"Just make sure
that you command the room.",0
Okay.,0
"The White Party is the time
for me to tell the whole world,
that it's okay--
It's okay to be gay.",0
"What the hell
is Derrick doing?",0
She's lost in an afro.,0
She's not funny.,0
"Come on, Britney.",0
Step it up.,0
Team Naomi.,0
"This team actually has
black people.",0
Crazy!,0
"Hi, ladies.",0
This Notorious B.I.G.,0
's wife.,0
"I got my drag name
from Biggie Smalls,
so I'm fucking freaking out.",0
"It's ""Smalls in the Family.""",0
"Lived this life,
so if you have
any questions for her
in terms of character
or inspiration...
What's the best hand
to slap a hoe with,
like, the left or the right?",0
"Best question of the season
so far.",0
"All right, so places,
people, places.",0
Action.,0
Now where the hell is Rucious?,0
Rucious!,0
"Rucious probably smelled you
and went runnin'.",0
"Well, then why
did I waste my time
puttin' on this?",0
Ooh!,0
Bam!,0
Why you all gaggin'?,0
"I bring it to you
every episode.",0
Cut.,0
"You say this is
an over-acting challenge,
I'm like,
You ain't gotta tell me twice.",0
Action.,0
"Yo, yo, yo,
hallelu, hallelu
My name's Shortbread,
that's my girl, Macaroon
And that's why they need
a strong woman on this company.",0
Cut.,0
"Miss Cynthia Lee, you just
left out the word ""gay,""
when you said this company needs
a strong, gay woman.",0
"Strong, gay woman.",0
"Yes, because that's--
that's the joke.",0
"Okay, let's try that again.",0
"This company need
a gay, strong woman.",0
"Wait, cut.",0
"The line is,
""A strong, gay woman.""",0
"""Strong, gay woman.""",0
"I'm a strong, gay woman!",0
"Cynthia's Ginger Snap
is hilarious
for all the wrong reasons.",0
"I don't even know if she knows
what she's saying.",0
All right.,0
Let's move on.,0
That and how to shoplift.,0
"Empty your pockets,
please, ma'am.",0
Fuck line.,0
"Robbie, differentiate
those voices,
so that we know
it's two different people.",0
"Do want it, like,
satanic or something?",0
"Um, not today, Satan.",0
Just make them different.,0
Okay.,0
That and how to shoplift.,0
"Please, sir, empty your--
Please ma'am,
will you empty your pocketbook?",0
Ah!,0
"Robbie is really
screwing it up.",0
"You're the one
I was most confident in.",0
"We're gonna have to work
with what we have.",0
"We could end up losing this
because of Robbie's mistakes.",0
Coming up...,0
"The girls are gonna do
a runway in roller skates.",0
I've never skated before.,0
Really?,0
"This is a mess
I can't wait to see.",0
"Whoa, whoa, whoa, whoa whoa.",0
"Whoa, whoa.",0
Be right back.,0
We're back.,0
"Let's get this main stage
rolling, honey.",0
"For the first time
in drag herstory,
the girls are gonna do
a runway in roller skates.",0
"Finally, a legit use
for my kneepads.",0
"So anybody nervous
about skating?",0
I've never skated before.,0
Ru?,0
Ever.,0
"So since I can't skate,
I have this idea,
like, maybe I can, like,
turn into a car
to, like, mask it.",0
"Do you have, like,
wheels for your arms and stuff?",0
"Oh, I have to make
my wheels, so.",0
You have to make wheels?,0
Yeah.,0
"So he plans on falling
and what,
crawling across the stage
like a Transformer?",0
What?,0
"Word, Decepticon, yes!",0
"How you feelin', Robbie?",0
"I feel...actually...
better.",0
"Girl, I'm the disco rockin' diva
of the roller rink.",0
"And my hope is that
my runway look redeems me
from that horrible performance
in the acting challenge.",0
"I'm actually wearing my mom's
vintage sunglasses,
which I'm really excited about.",0
"My parents were
straight-up hippies.",0
"I would love,
love to meet your parents.",0
"My mom, uh, passed away
when I was 19.",0
What happened?,0
She had cancer.,0
"I was at college,
like, having a blast,
and, like, I would always call
and be like,
""How's everything?""",0
It was always fine.,0
But it wasn't.,0
"And I finally got a call
from my dad being like,
""You know, you should probably
really come home.""",0
"When I went home, I mean,
she was not the--
She was not a person.",0
"She...
She wasn't there.",0
"I wish they were just a little
bit more honest with me,
'cause when I got home,
she died that day.",0
"Oh, my God!",0
"She was a skeleton
in a hospital bed.",0
"I didn't really get
a good-bye.",0
"And I kinda feel like
that was taken from me.",0
"And I'm very angry about it,
but I don't know
where to put that anger.",0
"It comes out of love for my dad,
he's like,
""I just don't want to, like,
interrupt your life and ruin--
Like, I want better things
for you.""",0
"And I'm like, I get that...
And my parents wanted
to protect me,"" yeah.",0
"But things like that,
like,
I didn't get to say
good-bye to her.",0
"She didn't want
to make my dad and my sister
feel, like, terrible,
but...
How come they didn't, like,
tell me to come home?",0
I will never forget that day.,0
"I guess that's why
I talk about things so much.",0
Just get it over with.,0
That's a great idea.,0
Keep doing that.,0
"Honey, we are here
to listen.",0
We got you.,0
"Now, let's hit the stage.",0
"Honey, y'all are not
ready for this.",0
"Cover girl
Yeah!",0
"Put the bass in your walk
Don't be jealous
of my roller boogie.",0
"Let your whole body talk
And what?",0
Yeah!,0
"Welcome to the main stage
of ""RuPaul's Drag Race.""",0
"Michelle Visage, thanks
for helping me build my empire.",0
How was prison?,0
"Fashion superstar
Carson Kressley,
what's your favorite cookie?",0
I like those Samoans.,0
It's a Samoa.,0
"Oh, is it a Samoa?",0
Samoan is a person.,0
"Mmm, mmm, delicious.",0
"From the hit shows,
""Empire"" and ""Power,""
my acting class pal,
Tasha Smith is here.",0
"Hey, baby!",0
Hey!,0
And the legendary Faith Evans.,0
"Hey, Ru.",0
"Were you mesmerized
by my girls?",0
"Oh, my, was I.",0
"This week,
we challenged our queens
to act up a storm
in ""RuCo's Empire.""",0
"Tonight, for the first time
in drag race herstory,
category is
Roller Girl Realness.",0
I'm ready.,0
"Gentlemen,
start your roller skates.",0
And may the best woman win!,0
"Get ready for some
moving violations.",0
Queens on wheels.,0
"AKA ""wheelness.""",0
"You're giving us
Tamar Braxton.",0
And Adrienne Bailon.,0
Mm-hmm.,0
"I'm giving you ""Xanadu""
realness, boo.",0
"Next thing you know--
Oop!",0
"Oh, yes, she ""Xana-did.""",0
"If they show me falling as
my runway, I'm gonna be furious.",0
"Don't worry,
we had a medic on hand.",0
"We're not totally evil
around here.",0
Thorgy Thor.,0
"She's giving
very ""Three's Company.""",0
Come and knock on her door.,0
"I'm super comfortable
on these roller skates.",0
"This is one of
the first looks I ever did,
like, this is classic Thorgy.",0
"Hey, good-lookin'.",0
Be back to pick you up later.,0
Call me on the party line.,0
Is this a three-way?,0
Derrick Barry.,0
Very Skaty Perry.,0
I love my outfit.,0
"I feel like I'm giving them
pop Princess Peach.",0
"It's different from anything
that I've worn before.",0
Oh!,0
"That's a bubble butt
if I ever seen one.",0
Kim Chi.,0
Toucan!,0
"Look at the size
of that cockatoo.",0
"The entire ensemble is
inspired by John Galliano.",0
"It's a contrast between nude
and all the colors
that are in a parrot.",0
"Yes, honey,
you better sissy that macaw.",0
Acid Betty.,0
"""Beyond Thunderdome.""",0
Punk unicorn realness.,0
"I am a bitch on wheels
times ten.",0
"I'm reliving my childhood
in the '80s, honey.",0
Don't turn your back on me.,0
Mad Maxi Pad.,0
Whoa.,0
Naomi Smalls.,0
Classic beauty.,0
She is like a flamingo.,0
Yes.,0
"I'm wearing
a pretty in pink bedroom scene.",0
"My outfit
is so not roller girl,
but I'm pulling it off.",0
"Michelle, what's the hardest
part of roller skating?",0
Mm.,0
"Telling your mother
that you're gay.",0
It's funny 'cause it's true.,0
"See you later,
roller skater.",0
Bob The Drag Queen.,0
"Not to be confused with
Bob The High School Counselor.",0
"I didn't have enough time to
finish this Transformer outfit,
so I do my backup plan.",0
"I'm like ""Tron,""
robot-inspired character.",0
"She's a ro--oh, yes girl.",0
Uh-oh.,0
Be careful.,0
"And I'm just like,
try to move
offstage without
breaking a limb.",0
"Whoa, whoa, whoa, whoa whoa.",0
"Whoa, whoa.",0
Nice save.,0
She's like a Roomba!,0
"Don't go too fast now, girl.",0
"Okay, slow down, girl.",0
Don't go too fast.,0
"Whoa, whoa, whoa, whoa, whoa.",0
"Oh, work it!",0
Cynthia Lee Fontaine.,0
She's a little bit country.,0
"It's Barbara Mandrell
on wheels.",0
I love my runway look.,0
"It's like Farrah Fawcett
meets with Olivia Newton John
in Texas.",0
"Uh, okay.",0
"I feel like the goddesses
of roller blades.",0
"If she falls,
there will be a hoe down.",0
There will be.,0
"Chi Chi DeVayne
from Louisiana.",0
"Yeah, this had
a roller street part.",0
Yes!,0
She got tricks.,0
"I'm a disco queen, honey.",0
"Funky, tight roller girl.",0
This is me.,0
"She's got that hair
snatched back in a afro puff.",0
"Ooh, a little
backwards skating.",0
"Yeah, back rolls.",0
"Up next, Robbie ""Turnter.""",0
"Oh, lord!",0
All right!,0
Uh-oh!,0
"I am roller girl realness
personified.",0
"It's got my initials on my ass
and a little star booty.",0
"Ooh, I like her.",0
My Aunt Diana's hair.,0
"I scalped her in, like, 1975.",0
"It's like a rhinestone
roller girl.",0
Yes.,0
Mmm.,0
"Coming up...
Taraji is going to die.",0
Lee Daniels is going to die.,0
Yes!,0
We'll be right back.,0
"Hey, cookie girls,
I hope you're hungry
for some diva drama.",0
"I'm ""wheely, wheely"" impressed.",0
"Now it's time
to view your scenes.",0
"First up, Team Naysha.",0
"I swear I've seen this show
before.",0
"Y'all here today
because yo' daddy,
Rucious Charles,
the head
of the Rooker Rackers Empire,
has a message for all of y'all.",0
"Hey, cookie girls.",0
"Aw, damn.",0
I'm dying.,0
"And I gotta figure out
which one of you bitches
gon' get my empire.",0
"Will it be my beautiful
Halle Berry wannabe girlfriend,
Vanilla Wafer?",0
"My brilliant daughter
with multiple degrees
and multiple personalities,
Macaroon?",0
Macaroon!,0
"Who thinks
she's sittin' on a secret,
Ginger Snap?",0
"My hood rat baby girl,
Shortbread?",0
"Or will it all go
to my sassy ex-wife,
Chocolate Chip Cookie?",0
What?,0
"But Chocolate Chip Cookie's
supposed to be in jail!",0
Ooh!,0
"You better think again,
RuRu kitty.",0
That's right.,0
Chocolate Chip Cookie's back!,0
Get off of me.,0
"And I'm here
to take what's mine,
now get this orange shit
off my body.",0
Ex-squeeze me?,0
I'm in charge of this company.,0
"Oh, bougie bitch,
please!",0
I should be running this empire.,0
Who asked you?,0
I did?,0
"No, I didn't!",0
"Yo, cray-cray.",0
I got this.,0
"Rock-a-ta-ta
ta-ta-ta-ta-ta
Rock-a-ta-ta
ta-ta-ta-ta-ta
I'ma rap
Ooh!",0
My baby's got talent.,0
"And that's for not visiting me
in prison, bitch.",0
Stop!,0
"It's time I get something
off my chest.",0
"This is my day
I was born this way
And my biggest secret is
I'm proud to be
Gay.",0
We know.,0
"But damn, my little baby's
got a voice.",0
Yeah.,0
I'm gonna make you a star.,0
"Bitch,
you couldn't even post bail.",0
"No...
but I can whoop yo ass
with this!",0
"This is harder on me
than it is for you guys.",0
"No, it's not!",0
Ow!,0
"Dang, she commits.",0
Y'all need to chill!,0
"The big White Record party's
comin' up,
and we need to show Rucious
that we are a family.",0
"Oh, it's Rucious's doctor.",0
What?,0
Rucious is dead!,0
"Oh, Rucious wants me
to give him head.",0
How is her head?,0
Be right there.,0
"I will see each
and every one of you bitches
at the White party.",0
"Yup, that scenery got chewed,
as in ate up.",0
"Yes, ""Empire"" and ""Dynasty,""
we're coming for you.",0
Team Naomi.,0
"I can't wait to see
how this turns out.",0
"Girls, at this
damn White party,
we're gonna act like a family.",0
"I know y'all ain't starting
this white-ass party without me.",0
"And why it gotta be white,
you know?",0
She do got a point.,0
Where's Rucious?,0
Rucious!,0
"Rucious probably smelled you
and went runnin'.",0
"Oh, well, then
why did I waste my time.",0
putting on this?,0
"Oh, there's more.",0
This-a!,0
"Why'd I waste my time
doin' that, bitch?",0
'Cause you's a crazy ass hoe.,0
"Where'd you learn
to talk like that?",0
"I learned it from you, bitch.",0
"That's about the only thing
you taught us.",0
"Yeah, that,
and how to shoplift.",0
"Empty your pockets,
please, ma'am.",0
I didn't do it!,0
Mama told me to!,0
"Well, well.",0
"This is nice,
but let's have a drink.",0
My thoughts exactly.,0
"Before we drink,
we say grace.",0
"Now can I get
a ""Amen, hallelu""?",0
"Yo, yo, yo,
hallelu, hallelu
My name's Shortbread,
that's my girl, Macaroon
Eat these cookie now
Whatcha want do
And drink this milk, bitch
You know you want to
All right,
I knew you had it, baby!",0
Yes!,0
I knew you had it.,0
Stop oppressing me!,0
Okay.,0
"I am sickening
I am gorgeous
I'm a strong, gay woman!",0
"Bitch, we're all gay.",0
I'm not gay.,0
"Yes, you are.",0
"That one time
in college doesn't count.",0
My baby.,0
Jeez!,0
"Girl, you better step
your medications up.",0
"Wow, you really all are crazy.",0
"That's why I'm secretly
plotting to go work
for our rival company,
Lady Bunny Death Hoe Records.",0
"Oh, no, she didn't.",0
"You fake-ass
Dominique Deveraux wannabe!",0
"Oh, my God.",0
Oh!,0
"Taste it, bitch.",0
Expensive vodka.,0
"Stand back, bitches.",0
"Bring it, bitch.",0
"You lucky
my pre-paid phone ringin'.",0
"I woulda whooped
your little skinny ass.",0
Who dis?,0
"It's Rucious' doctor, y'all.",0
"Hello, Rucious's doctor.",0
"Wait, what?",0
"Rucious's...
severely deadly illness is...
contagious?",0
Oh!,0
Oh!,0
It's because I'm gay?,0
Isn't it?,0
Peace.,0
"Did anyone else notice
that these queens always die
at the end of these
acting challenges?",0
Oh...,0
"I guess whatever Rucious had,
it really was sickening.",0
"Or maybe it was just
a lil' extra somethin-somethin
I put in the cocktails.",0
"Oh, you thirsty, bitch?",0
Whoo!,0
I'ma take this motherfucker.,0
"Gimme the shoe, bitch.",0
"She is just making this up
as she goes along.",0
Oh!,0
Look at all this money.,0
"He ain't got
no motherfucking backup.",0
Is the train still runnin'?,0
Wow.,0
"Well, there you have it,
ladies.",0
And all based on actual events.,0
"Ladies, this week
you acted in teams.",0
"but tonight,
you'll be judged individually.",0
Plot twist!,0
Coming up...,0
"I don't know what you were
saying, but I didn't care.",0
"I think you were
very convincing as a schizo.",0
Show me that you do have soul.,0
"The draggety drama continues
right after this.",0
"Judges gon' judge
and skaters gon' skate.",0
Here we go.,0
"When I call your names,
please roll forward.",0
Naomi Smalls.,0
Kim Chi.,0
Naysha Lopez.,0
Chi Chi DeVayne.,0
"Ladies, you are safe.",0
You may leave the stage.,0
"And please don't
kill yourselves.",0
"The rest of you represent
the high rollers
and the low rollers
of the week.",0
Feelin' lucky?,0
"Now it's time
for the judges' critiques.",0
Starting with Thorgy Thor.,0
"Your roller girl look--
You're giving me '70s.",0
You had the big blonde 'fro.,0
Not the most wildly inventive.,0
Okay.,0
"Now I'm gonna go
to your performance,
which was so good.",0
Nailed it!,0
"Your choreography was
meticulously done.",0
Yes!,0
I'm so proud of you.,0
Great job.,0
"Next up, Derrick Barry.",0
"I like this whole, like,
Jeremy Scott for Katy Perry
kind of thing.",0
"You are doing a great job
with trying
to give us something
other than Britney.",0
"But I feel like
you're coming out
and these clothes
are wearing you.",0
"With your performance,
the personality of the character
didn't really connect.",0
It was too laid back.,0
"I'd love to see you show me
that you do have soul,
so what you need
to get to work on
is giving us your soul.",0
"At least she's ""purty.""",0
"Next up, Acid Betty.",0
"Your performance,
I felt like you gave me
the ""Sybil"" multiple personality
with a little bit
of Carol Burnett goin' on.",0
"I think you were
very convincing as a schizo.",0
"This look tonight,
it's getting kinda predictable.",0
"I'd love to see something
way different.",0
"Another challenge, Michelle.",0
I fucking love challenges.,0
Be you but don't be you.,0
Give us less but more.,0
"Mm-hmm, what he said.",0
"All right, next up,
Bob The Drag Queen.",0
I love this look.,0
"You did this Glamazon girl
from ""Tron.""",0
"Tin Man, I have to say,
needs some lubricant.",0
Halle-lube!,0
"Now let's get
to the performance.",0
"Everything about it
was on point.",0
"That ad libs were
really, really good.",0
Taraji is going to die.,0
Lee Daniels is going to die.,0
"Shantay, you slay.",0
Cynthia Lee Fontaine.,0
Cynthia.,0
"You have a great body with
a shirt that's like a formal
with a formal necklace
and formal earrings,
then you have, like, Hooters
shorts that don't fit at all.",0
It's so discombobulated.,0
"The ""Empire"" scene, I don't
know what you were saying,
but I didn't care.",0
"There were some nuances
that were missed.",0
"What did you think,
watching yourself in the scene?",0
I love it.,0
It was really good.,0
It was really good.,0
"Aw, she's like a puppy.",0
Can we keep her?,0
Thank you very much.,0
"All right, next,
Robbie ""Turnter.""",0
I do love the jumpsuit.,0
"But what's bothering me
is all the silver accoutrements
and then a gold necklace.",0
I would lose the necklace.,0
"Um, when we were workin'
on that scene,
Ru was directing you
to kinda get into
the two different voices.",0
"I don't think
you stuck with that.",0
"It was kinda like
I didn't have a moment
to, like, break
and think of your notes
before we moved on
to another note
and also remember where
the blocking for the camera was
because I can't see
very far.",0
"When we originally read it,
I was Vanilla Wafer.",0
And it--we did change it.,0
"Did that hurt you,
you think?",0
"I think it did hurt me,
and I didn't speak up
even though I was
feeling it,
and so for the betterment
of the team, I was like--
You can't allow yourself
to be a victim
and use the excuse
of, ""I was being nice.""",0
It's a competition.,0
Whoo!,0
"Break it down, Tasha.",0
I think we've heard enough.,0
"While you untuck
backstage,
the judges and I
will deliberate.",0
"All right, now just
between us squirrel friends,
what do you think?",0
Thorgy Thor.,0
"Her Chocolate Chip Cookie
killed it.",0
"It's safe to say that,
uh, her Chocolate Chip Cookie
was baked in a lovin' oven.",0
"Mmm, cozy.",0
"It brings all the boys
to the yard.",0
Yeah!,0
That's a milkshake.,0
Oh.,0
"Keep up, whitey.",0
Derrick Barry.,0
"She goes from Britney Spears
to Katy Perry.",0
"I'm still waiting
to find Derrick Barry.",0
"I thought the runway
was really cute.",0
"But in the scene,
Ginger Snap got lost to me.",0
"I've seen her perform
as Britney Spears.",0
"She puts her whole self into it,
and that's what she
needed to do in this challenge.",0
Acid Betty.,0
"I think she did look
like a roller warrior,
but I could probably
do without the Mohawk.",0
"In this role,
she looks like
she's one french fry short
of a Happy Meal straight away.",0
"And that's a good thing,
right?",0
"It's not easy to improv,
but also stay focused
on the scene.",0
I am feelin' her swag.,0
"She has charisma and it allows
her to sell absolutely anything.",0
"This Tron jumpsuit
is so basic,
and I found myself goin',
""Oh, my God, I love it so much.""",0
Her Tron was on.,0
Cynthia Lee Fontaine.,0
"Bless her cotton socks
with that runway outfit.",0
Oh!,0
Oh!,0
They were Fruit of the Loom.,0
"I just felt like she didn't
commit to the role that she had,
as sweet as she is,
but what's sweet
got to do with it?",0
"All right, Ike Turner.",0
Okay?,0
"Oh, no, she just did not.",0
"You had given
a lot of direction,
but Robbie
did not really get it.",0
But I love that jumpsuit.,0
"I would wear the hell
out of that jumpsuit.",0
I love it.,0
Silence!,0
I've made my decision.,0
Bring back my roller girls.,0
"""Wheels"" be right back.",0
Who's skating to victory?,0
Who's on thin ice?,0
Let's watch.,0
"Welcome back, ladies.",0
I've made some decisions.,0
Thorgy Thor.,0
You're safe.,0
Bob The Drag Queen.,0
