Sentence,Label
"21-year-old André Furtado is a business owner from Dudley - and is hoping to impress the girls with four languages!

""I’m charming, I’m going to bring good looks and some language lessons."" 😉☀️

# # #

https://t.co/tbnnheIfJ2 https://t.co/A9bhVam5MN",<s>
"Careful boys! Jess Harding a 22-year-old beauty clinic owner from London has a long list of icks including fake designer clothes, running for the train and having a lunchbox - ""just get a Tesco meal deal!"" 🥪💛

# # #

https://t.co/tbnnheIfJ2 https://t.co/veDRj6O0WI",<s>
"I think the final two contestants will be them ⚡️
#loveisland #loveislanduk https://t.co/d4vOdbuDIp",<s>
"Big Twist this season! 🏝❤️
#loveisland #loveislanduk https://t.co/nyqJIh7JZN",<s>
"Love Island producers really said we're bringing you diversity ❤️🏝
#loveisland #loveislanduk https://t.co/vDC4MQAI23",<s>
"Essex lad George Fensom, a Business Development Executive, is hoping to turn heads with his dancing - ""I’m gonna bring dad jokes and dad dancing to the Villa."" 🕺

# # # 

https://t.co/tbnnheIfJ2 https://t.co/4CR8aYxENY",<s>
"So with the show back on Spanish soil in its gorgeous Majorcan villa, here are all the confirmed Islanders ready to find love - from footballers to beauticians! 😍💕🌴☀️

# # # 

https://t.co/tbnnheIfJ2",<s>
ABSOLUTELY READY FOR THE HOTTEST SHOW OF THE SUMMER TO TAKEOVER OUR LIVES IN 8 DAYS!! 8 weeks of greatness is coming and I’m so ready for it 😁😁 @ # # @MayaJama https://t.co/ERZ98DYjHO,<s>
"GET READY FOR SEASON 10! Check out my 'Love Island 2015-2023' playlist on Spotify! Every song featured from all 9 series! Over 3,900 hits &amp; 228 hours of music! Click the link below to listen! 

https://t.co/agtQqc8zZ8

# # # # https://t.co/v2Re2a2aL9",<s>
"LOVE ISLAND 2023 - FULL LINE-UP REVEALED!

ITV2 has confirmed its cast of sexy islanders ready to dip their toes into the world of reality TV in a bid to find romance in the Love Island villa! 😍💕🌴☀️

# # # 

🧵",<s>
"GET READY FOR SEASON 10! Check out my 'Love Island 2015-2023' playlist on Spotify! Every song featured from all 9 series! Over 3,900 hits &amp; 228 hours of music! Click the link below to listen! 

https://t.co/agtQqc8zZ8

# # # # https://t.co/v2Re2a2aL9",<s>
ABSOLUTELY READY FOR THE HOTTEST SHOW OF THE SUMMER TO TAKEOVER OUR LIVES IN 8 DAYS!! 8 weeks of greatness is coming and I’m so ready for it 😁😁 @ # # @MayaJama https://t.co/ERZ98DYjHO,<s>
It's The Scott Show - Kady Mcdermott  #kadymcdermott #scottthomas #maliaarkian #rachelfenton #malinanderson #zaraholland #tompowell #oliviabuckland #daniellukakis #caradelahoyde #rykardjenkins #loveisland #loveislanduk #loveislandmemes #loveislandseason2 #lovelingo #lovelingoland https://t.co/1TmWbYGyFK,<s>
Do you think I'd waste my wine? - Kady Mcdermott #kadymcdermott #maliaarkian #rachelfenton #malinanderson #zaraholland #tompowell #oliviabuckland #sophiegradon #daniellukakis  #awkward #loveisland #loveislanduk #loveislandmemes #loveislandseason2 #lovelingo #lovelingoland https://t.co/DaUNoLbo05,<s>
I'm normally having sex at this point - Terry Walsh #terrywalsh #malinanderson #wesuit #wedosuit #anotherwavelength #loveisland #loveislanduk #loveislandmemes #loveislandseason2 #notlikethat #imsohappy #goingaboutthings #imsmitten #feelhappy #lovelingo #lovelingoland https://t.co/B41GbmX3GG,<s>
The burn is the word - Rykard Jenkins #rykardjenkins #oliviabuckland #terrywalsh #malinanderson #theburnistheword #theburn #flower #imsohappy  #imhappy #loveisland #loveislanduk #loveislandmemes #loveislandseason2 #newgirls #crackonwith #havefun  #lovelingo #lovelingoland https://t.co/bxhpmKhWG9,<s>
Would you like an olive? - Daniel Lukakis #daniellukakis #rachelfenton #oliviabuckland #zaraholland #lovelything  #share #commoninterests #clearlywedo #loveisland #loveislanduk #loveislandmemes #loveislandseason2 #traits #loyalty #havefun  #idloveanolive #lovelingo #lovelingoland https://t.co/J5dmtdwyqJ,<s>
What do you sing? - Scott Thomas #scottthomas #maliaarkian #whatdoyousing #whatdoyoudoforaliving #singersongwriter #songs #motown #loveisland #loveislanduk #loveislandmemes #loveislandseason2 #whenthenighthascome #andthelandisdark #thisguy #lovelingo #lovelingoland https://t.co/JCWC1Tv8yd,<s>
I don't let them know I'm bothered - Kady Mcdermott #kadymcdermott #zaraholland #rykardjenkins #scottthomas  #no #loveisland #loveislanduk #loveislandmemes #loveislandseason2 #whenhecomesback #chilledasfcks  #sochilled #fuming #massiveguardup #putanacton #lovelingo #lovelingoland https://t.co/bTlRafF3T0,<s>
Shaq is honestly such a gem. Not afraid to tell the boys when they're being slimey but also takes accountability. Deserves the world honestly. #loveislanduk,<pad>
ABSOLUTELY READY FOR THE HOTTEST SHOW OF THE SUMMER TO TAKEOVER OUR LIVES IN 9 DAYS!! 8 weeks of greatness is coming and I’m so ready for it 😁😁 @ # # @MayaJama https://t.co/4I8wBS030v,<s>
"Now why did they plan Lean On Me with these fucking boys, let’s BFFR 😭😭#",<s>
"This might be an unpopular opinion but, the UK version of Love Island is way better than the US version and I’m from the US. # # #",<s>
"When does Love Island UK season 10 start?

https://t.co/8XK2U0Pzgz

# #",<s>
Ok so we still have radio silence from @ITV about a release date for #SanditonS3 in the UK. So I propose that ITV gets #RoseWilliams #EloiseWebb and #BenLloydHughes to watch a few episodes of # as a tv special to promote #Sanditon and L.I. #SanditonSuspense @ITVX https://t.co/JUeOM7XEfe,<s>
ABSOLUTELY READY FOR THE HOTTEST SHOW OF THE SUMMER TO TAKEOVER OUR LIVES IN 10 DAYS!! 8 weeks of greatness is coming and I’m so ready for it 😁😁 @ # # @MayaJama https://t.co/EVGEhH7Bt8,<s>
Now I understand why Kai and Sanam won #,<s>
I'm gonna do a bit of grafting - Jessica Hayes #jessicahayes #luismorrison #daniellepyne #grafting #mysteriousgirl #loveisland #loveislanduk #loveislandmemes #loveislandseason1 #winningcouple #thatscool #gettingherflirton #putitonme #lovelingo #lovelingoland https://t.co/maIZzZOXbf,<s>
ABSOLUTELY READY FOR THE HOTTEST SHOW OF THE SUMMER TO TAKEOVER OUR LIVES IN 11 DAYS!! 8 weeks of greatness is coming and I’m so ready for it 😁😁 @ # # @MayaJama https://t.co/zomXd6Q4wQ,<s>
@queensofbravo OMG yes get ariana on love island #PumpRules #,<s>
You gotta pick the right shot - Luis Morrison #luismorrison #omarsultani #chriswilliamson #yougottapicktherightshot #learningcurve  #hundredmillionpercent #loveisland #loveislanduk #loveislandmemes #loveislandseason1 #freeshot #allsingle #graftin #lovelingo #lovelingoland https://t.co/ShbKcdw3CF,<s>
He pied her - Naomi Ball #naomiball #jonclark #joshritchie #luismorrison #daniellepyne #daisymuller #rachelchristie #hepiedher #temptedtostay #loveisland #loveislanduk #loveislandmemes #loveislandseason1 #whydidntyou #firepit #loveislandsweetheart #lovelingo #lovelingoland https://t.co/TTSfvoFO1q,<s>
"In Case you missed it # returns June 5th see details below..
# https://t.co/h7yGoTMeJN",<s>
Am I watching love island this year cus it best not turn shi like the other one 💀 #,<pad>
I do  understand why they gatekeeper   Eng sub  Woww nooo they don’t want any bad vibe like the #,<s>
"we go again!!
#",<s>
"@ @MayaJama @ITV @ITVX Oh here we go!
# # https://t.co/x1t0wV7S1m",<s>
"Have u seen this😍 
https://t.co/ALLpzeaexw             

# #loveislove #LoveIsBlind # #BestOfTweets #MaskSinger #photooftheday https://t.co/SPkGHRNS4e",<s>
I did not know teddy cheat on faye jsss how do I still believe in man? #loveislanduk,<s>
Je suis sur que lui aussi va se ramener purée c foutu bon bah rendez-vous en été pour love island uk # # #loveislandfr # #Lovislandusa ( il a commenté ça sous la réaction de nicolo à l'arrivée de bastos ) https://t.co/OA69YhOSMM,<s>
Okay it’s been a while but I know ambers crossed eyed ass is not abt to take Michael back 😭😭😭 #loveislandUK #standupPLEASE,<s>
# #Loveislandthegame # # https://t.co/FjmDQizBYe,<s>
# #Loveislandthegame # # https://t.co/KNczBv41aM,<s>
# #Loveislandthegame # # https://t.co/XdYLfy6l7j,<s>
# #Loveislandthegame # # https://t.co/G4cmNvkCHp,<s>
WHO’S READY FOR SEASON 10 🌶️🔥🏝️ #,<s>
My bestfriend and I are ready 🍿#,<s>
"Eat, sleep, crack on, repeat🌴 # #bombshell # #birthdayweekend https://t.co/A2gArj4D3P",<s>
WOOOOOOWW FUCK THESE GIRLS AND THEIR TERRIBLE ASS DECISIONS!! KAI LITERALLY IS THE WORST AND A PLAAYYERRRR YET STAYS ANOTHER ROUND 😡 #,<pad>
Tanyel looks dumb AF for coupling up with Ron. Poor Lana. #,<s>
Half these boys don’t deserve to be saved especially from the public!! I swear the UK have the worst taste in men 😵‍💫 #,<s>
It's gonna be graft city - Luis Morrison #luismorrison #jonclark #chriswilliamson #omarsultani #joshritchie #jessicahayes #graftcity #graftcitying #graftcitytoday #loveisland #loveislanduk #loveislandmemes #loveislandseason1 #getyourgrafton #lovelingo #lovelingoland https://t.co/4RA7QRN74P,<s>
Season 9 # cast really thought they’d come out the show w 1mil+ followers &amp; get brand deals on deals lmaoooo,<s>
Can I speak to you in the smoking area? - Omar Sultani #omarsultani #jessicahayes #chriswilliamson #luismorrison #joshritchie #naomiball #daniellepyne #smoking #classicomar #loveisland #loveislanduk #loveislandmemes #loveislandseason1 #comeoutyourshell #lovelingo #lovelingoland https://t.co/1iMUnUUfUO,<s>
.@BenMandelker you were 100% right about # being amazing. I just started season 1 &amp; this show is going to get me through the summer!,<s>
Ahhh this new girl who just dropped in looks so familiar but I can’t look her up or I’ll spoil the show for myself 😭 #loveislanduk she did say she does social media but I just can’t figure it out 😵‍💫,<s>
It’s so funny when people say they hate drama and then enter in a love show that’s known for drama #loveislanduk,<s>
"I bought a double walled vacuum flask to keep my coffee hot, but it works too well. Now I have to wait for it to cool down before I can drink it. #CoffeeLover  #caffeine #MorningLive # https://t.co/sDQOMUDlCS",<s>
"Olivia is the epitome of hypocrisy and Will is an idiot, but at least he realized he will never do better than Jessie. 🤣

#",<s>
Well this is the first I’ve heard about it @aidanhammond # # https://t.co/03CrXLtKkv,<s>
I don't know how our conversation's gonna go - Chris Hughes #chrishughes #chloecrowhurst #oliviaattwood #intoher #stunninggirl #doubleawkward #loveisland #loveislanduk #loveislandmemes #loveislandseason3 #youdo #goodfriends #crackingon #enjoy #thanks #lovelingo #lovelingoland https://t.co/Mx2jJv5pEv,<s>
I like that you defend yourself - Olivia Attwood #oliviaattwood #chrishughes #ilikethat #donttakeshit #lastnight #shelikesyer #tookmebysuprise #forme #properbuzz #loveisland #loveislanduk #loveislandmemes #loveislandseason3 #suprise #kindaknow #lovelingo #lovelingoland https://t.co/MdytuWLfsK,<s>
How do you feel about me? - Jonny Mitchell #jonnymitchell #camillathurlow #whatdoyoumean #awkward #couplingup  #loveisland #loveislanduk #loveislandmemes #loveislandseason3  #rubbishword #nice #flattered #thanks #moppingitup #excited #thrilled #lovelingo #lovelingoland https://t.co/f934vZFSEo,<s>
I did not come across as confrontational - Olivia Attwood  #oliviaattwood #montanabrown #samgowland #tynelexyclarson #marcelsomerville #kemcetinay #gabbyallen #salty #boysaremelts #loveisland #loveislanduk #loveislandmemes #loveislandseason3 #mug #snake #lovelingo #lovelingoland https://t.co/SKjKNi2dEr,<s>
I've never dated anyone under 25 - Olivia Attwood #oliviaattwood #samgowland #montanabrown #amberdavies #confrontational #bye #properlittleshit #loveisland #loveislanduk #loveislandmemes #loveislandseason3 #melt #draghimaside #awkward #beatingadeadhorse  #lovelingo #lovelingoland https://t.co/7zsOAWCckR,<s>
I was gonna call time on things - Sam Gowland #samgowland #oliviaattwood #chrishughes #amberdavies #montanabrown  #icantevenlookatyer  #itiswhatitis #bitfunny #loveisland #loveislanduk #loveislandmemes #loveislandseason3 #sly #nothingtodowithyou  #lovelingo #lovelingoland https://t.co/WBiN5AzFHW,<s>
ZARA IS GONE FINALLY YESSSSS #loveislanduk,<s>
ABSOLUTELY READY FOR THE HOTTEST SHOW OF THE SUMMER TO TAKEOVER OUR LIVES IN 15 DAYS!! 8 weeks of greatness is coming and I’m so ready for it 😁😁 @ # # @MayaJama https://t.co/l746DZU3Ne,<s>
Zara from # SOO ANNOYING,<s>
#loveislanduk #loveislandbilly https://t.co/kndo0yJmsa,<s>
"Good morning ladies, happy Sunday #feetfethish #feetpicsforsales # #buyingcontent #feetfinder #feet #feetfindom #pig",<s>
Happy Sunday #feetfethish #feetfinder #buyingcontent #SugarBabyTwitter #feetpicsforsales # #AttackOnTitan https://t.co/nep9URtddI,<s>
"The way Faye treats Teddy 😭 Her trust issues make her delusional…  😭 ugh season 7 is the worst. #loveislanduk
@ #loveisland",<s>
#loveislanduk  olivia is making this beef up with zara it’s ridiculous,<s>
ABSOLUTELY READY FOR THE HOTTEST SHOW OF THE SUMMER TO TAKEOVER OUR LIVES IN 16 DAYS!! 8 weeks of greatness is coming and I’m so ready for it 😁😁 @ # # @MayaJama https://t.co/HVxF3HrEAf,<s>
Could programmes like #TheKardashians # please stop being a thing 🥱😒🤮,<s>
"Nah, these two @VirginVoyages  happening at the same time with Reality folks from # #BachelorNation #BigBrother etc is giving me extreme fomo especially the one from Greece 
# #TheBachelor #TheBachelorette #BachelorInParadise #Haleraiser #VirginVoyages https://t.co/UsJIbIbRNP",<s>
"Casey is a cowaaaardddd!

In one breath calling Jessie fake and then when confronted by Will, complete denial. 

Gosh I hope there’s another movie night or way to roll back the tapes..

 #loveisland #loveislanduk https://t.co/TZUDRe2PgZ",<s>
Maxwell and Liv are perfect for each other lol and Casey belongs in that thruple #loveislanduk #loveisland https://t.co/iRYHAstJL5,<s>
ABSOLUTELY READY FOR THE HOTTEST SHOW OF THE SUMMER TO TAKEOVER OUR LIVES IN 17 DAYS!! 8 weeks of greatness is coming and I’m so ready for it 😁😁 @ # # @MayaJama https://t.co/h3TOnenWRq,<s>
I’m fine with #BB25 starting late. I was going to be spread thin with # already,<s>
"The # winter series couple have been pictured together despite announcing their split in April

# #ITV

https://t.co/bJEE6xrjGb",<s>
these ppl getting mad on # like they not single .... https://t.co/CtTUMxwHNg,<s>
Tanya be gaslighting Shaq man… I’m a girls girl but she’s making us look horribleee… can never admit when she’s wrong! #loveislanduk,<pad>
"Most all of Will’s things he loved about Jessie were about things she does for him and how she makes him feel… there were like 3 about who she is as a person. This shit is sickening lol 
#loveislanduk",<s>
ABSOLUTELY READY FOR THE HOTTEST SHOW OF THE SUMMER TO TAKEOVER OUR LIVES IN 18 DAYS!! 8 weeks of greatness is coming and I’m so ready for it 😁😁 @ # # @MayaJama https://t.co/vwQpnWFafC,<s>
I’m so pissed I just finished #. Why tf would y’all vote Kai and Sanam to win?! 🤬🤢,<s>
"Even though I am very much done with #, going to check out # because of a viral clip of the islanders were talking some woo woo esoteric shit and it was hilarious.",<s>
ABSOLUTELY READY FOR THE HOTTEST SHOW OF THE SUMMER TO TAKEOVER OUR LIVES IN 19 DAYS!! 8 weeks of greatness is coming and I’m so ready for it 😁😁 @ # # @MayaJama https://t.co/iUd97Zec5M,<s>
Rumoured contestants for Love Island S10🏝 #loveisland # https://t.co/FVBilSv30C,<s>
"""Does your kitchen need some fresh air? BOCSH 60CM Range Hood to the rescue! Say goodbye to burnt popcorn and hello to delicious meals that won't set off your smoke detector 😂🍽 #kitchensanctuary  #freshly18  #Air # https://t.co/hhhG7qpp1g",<s>
#CasaAmor is entertaining and all but the guys always treat the Casa Amor girls like wh0res. They get their rocks off hooking up and then dump them when their girls come back. #loveislanduk,<s>
"God, I love the # narrator or… he be dragging these people 😂😂",<s>
will is my favorite he so cheeky and cute lol #,<s>
ABSOLUTELY READY FOR THE HOTTEST SHOW OF THE SUMMER TO TAKEOVER OUR LIVES IN 20 DAYS!! 8 weeks of greatness is coming and I’m so ready for it 😁😁 @ # # @MayaJama https://t.co/pmpN3DIiDD,<s>
"Martin is right, Tanya gaslit tf out of him #",<s>
"I was always riding for my sis Tanya but this thing with Martin is ANNOYING, she’s dragging it 😐 you know you don’t like that man #",<s>
Ok babe I know - Chloe Crowhurst #chloecrowhurst #chrishughes #oliviaattwood #domlever #marcelsomerville #amberdavies #okbabeiknow #okbabe #loveisland #loveislanduk #loveislandmemes #loveislandseason3 #fancythepantsoffyer #lovelingo #lovelingoland https://t.co/uzj35PPv9i,<s>
Why can’t # find attractive black people?,<pad>
Tonight! TONIGHT! Tonight! #FreakShow #AthensGA #GuinnessWorldRecord #AllAges #LiveMusic #TownieSummer # #GucciCruise24 #fishtanklive #divebar  #GoDawgs https://t.co/eGDI2W4cbQ,<s>
I'm so falling - Jessica Shears #jessshears #domlever #oliviaattwood #kemcetinay #samgowland #gabbyallen #jonnymitchell #chrishughes #marcelsomerville #sofalling  #nickersdrop #loveisland #loveislanduk #loveislandmemes #loveislandseason3 #tickalltheboxes #lovelingo #lovelingoland https://t.co/uvYq7PDN5E,<s>
It's just ick - Olivia Attwood #oliviaattwood #jessshears #samgowland #itsjustick #theick  #loveisland #loveislanduk #loveislandmemes #loveislandseason3 #itsjustlike #endoftheday #itdoesntgo #itslike #youvecaughtit #takesoveryourbody #thatjustme #lovelingo #lovelingoland https://t.co/FXAz9sWtIt,<s>
"The girls on #loveislanduk sharing bathing suits and lingerie is soooooo strange to me… is this considered normal in the UK?!!! In America, sharing anything that touches your bare privates, even if clean and washed, is nasty and a big NO !!",<pad>
ABSOLUTELY READY FOR THE HOTTEST SHOW OF THE SUMMER TO TAKEOVER OUR LIVES IN 21 DAYS!! 8 weeks of greatness is coming and I’m so ready for it 😁😁 @ # # @MayaJama https://t.co/mJCG5UejsE,<s>
I’m already wondering how I’m gonna keep up with both #loveislandmalta and #loveislanduk one was already a struggle,<s>
"So #...I think this may be my last visit for real. Nearing the end of this season and I'm like...as much as they're all, we're brothers, we're friends, I'm like well I guess you fight like a dysfunctional family. I guess this is the year for leaving reality TV dating.",<s>
ABSOLUTELY READY FOR THE HOTTEST SHOW OF THE SUMMER TO TAKEOVER OUR LIVES IN 22 DAYS!! 8 weeks of greatness is coming and I’m so ready for it 😁😁 @ # # @MayaJama https://t.co/DYviMXtLqa,<s>
